2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | activate_virtual_env:346 | 【虛擬環境】虛擬環境激活成功: /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmp45t216cl/venv
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | create_virtual_env:227 | 【虛擬環境】開始創建虛擬環境: /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmpss8y7w_q/test_venv
2025-07-23 22:19:55 | INFO     | venv_manager | create_virtual_env:244 | 【虛擬環境】執行命令: /Library/Developer/CommandLineTools/usr/bin/python3 -m venv /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmpss8y7w_q/test_venv --copies
2025-07-23 22:19:55 | INFO     | venv_manager | create_virtual_env:255 | 【虛擬環境】虛擬環境創建成功: /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmpss8y7w_q/test_venv
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | create_virtual_env:227 | 【虛擬環境】開始創建虛擬環境: /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmpkvtouecf/test_venv
2025-07-23 22:19:55 | INFO     | venv_manager | create_virtual_env:244 | 【虛擬環境】執行命令: /Library/Developer/CommandLineTools/usr/bin/python3 -m venv /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmpkvtouecf/test_venv
2025-07-23 22:19:55 | INFO     | venv_manager | create_virtual_env:255 | 【虛擬環境】虛擬環境創建成功: /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmpkvtouecf/test_venv
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | detect_existing_venv:122 | 【虛擬環境】檢測到現有虛擬環境: /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmplmktt_39/venv
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | detect_existing_venv:125 | 【虛擬環境】未檢測到現有虛擬環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | auto_setup:522 | 【虛擬環境】開始自動設置虛擬環境
2025-07-23 22:19:55 | INFO     | venv_manager | detect_existing_venv:125 | 【虛擬環境】未檢測到現有虛擬環境
2025-07-23 22:19:55 | INFO     | venv_manager | health_check:467 | 【虛擬環境】健康檢查完成，狀態: 健康
2025-07-23 22:19:55 | INFO     | venv_manager | auto_setup:567 | 【虛擬環境】自動設置完成，環境健康
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | create_virtual_env:227 | 【虛擬環境】開始創建虛擬環境: /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmp1sjyhkrh/test_venv
2025-07-23 22:19:55 | INFO     | venv_manager | create_virtual_env:244 | 【虛擬環境】執行命令: /Library/Developer/CommandLineTools/usr/bin/python3 -m venv /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmp1sjyhkrh/test_venv --copies
2025-07-23 22:19:55 | ERROR    | venv_manager | create_virtual_env:260 | 【虛擬環境】創建失敗: Error creating venv
2025-07-23 22:19:55 | INFO     | venv_manager | _initial_check:86 | 【虛擬環境】當前使用系統 Python 環境
2025-07-23 22:19:55 | INFO     | venv_manager | create_virtual_env:227 | 【虛擬環境】開始創建虛擬環境: /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmpcdhric11/test_venv
2025-07-23 22:19:55 | INFO     | venv_manager | create_virtual_env:244 | 【虛擬環境】執行命令: /Library/Developer/CommandLineTools/usr/bin/python3 -m venv /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmpcdhric11/test_venv --copies
2025-07-23 22:19:55 | INFO     | venv_manager | create_virtual_env:255 | 【虛擬環境】虛擬環境創建成功: /var/folders/dr/x43d0_r53nq3dfxvxryxvy680000gn/T/tmpcdhric11/test_venv
