2025-07-23 20:37:42 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 20:37:42 | INFO     | activity_meter | _init_module:132 | 【活躍度】模組初始化完成
2025-07-23 20:43:51 | INFO     | activity_meter | _setup_managers:111 | 活躍度面板管理器架構已初始化
2025-07-23 20:43:51 | ERROR    | activity_meter | _add_settings_components_fixed:230 | 添加設定組件失敗: item would not fit at row 1 (10 > 5 width)
2025-07-23 20:43:51 | ERROR    | activity_meter | create_fallback_layout:548 | 創建備用佈局失敗: item would not fit at row 0 (6 > 5 width)
2025-07-23 20:43:51 | INFO     | activity_meter | create_fallback_layout:560 | 最小備用佈局創建完成
2025-07-23 22:18:56 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:18:58 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:18:58 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:18:58 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:18:58 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:18:58 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:18:58 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:18:58 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:18:58 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:18:58 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:19:04 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:19:04 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:19:04 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:19:04 | ERROR    | activity_meter | get_announcement_time:575 | 【活躍度】獲取公告時間失敗: 'coroutine' object has no attribute '__anext__'
2025-07-23 22:19:04 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:19:04 | INFO     | activity_meter | refresh_settings_cache:447 | 【活躍度】設定緩存已刷新
2025-07-23 22:19:04 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:19:04 | ERROR    | activity_meter | update_announcement_time:620 | 【活躍度】更新公告時間失敗: 時間格式錯誤，請使用 HH:MM 格式
2025-07-23 22:19:04 | ERROR    | activity_meter | update_announcement_time:620 | 【活躍度】更新公告時間失敗: 時間格式錯誤，請使用 HH:MM 格式
2025-07-23 22:19:04 | ERROR    | activity_meter | update_announcement_time:620 | 【活躍度】更新公告時間失敗: 時間格式錯誤，請使用 HH:MM 格式
2025-07-23 22:19:04 | ERROR    | activity_meter | update_announcement_time:620 | 【活躍度】更新公告時間失敗: 時間格式錯誤，請使用 HH:MM 格式
2025-07-23 22:19:04 | ERROR    | activity_meter | update_announcement_time:620 | 【活躍度】更新公告時間失敗: 時間格式錯誤，請使用 HH:MM 格式
2025-07-23 22:19:04 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:19:04 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:19:04 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:19:04 | INFO     | activity_meter | init_db:76 | 【活躍度】資料庫表結構初始化完成
2025-07-23 22:19:04 | ERROR    | activity_meter | get_announcement_time:575 | 【活躍度】獲取公告時間失敗: 'coroutine' object has no attribute '__anext__'
2025-07-23 22:19:04 | ERROR    | activity_meter | get_user_activity:111 | 【活躍度】獲取用戶活躍度失敗: 'coroutine' object has no attribute '__anext__'
2025-07-23 22:19:04 | ERROR    | activity_meter | set_report_channel:224 | 【活躍度】設定報告頻道失敗: 'coroutine' object has no attribute '__anext__'
2025-07-23 22:19:04 | INFO     | activity_meter | refresh_settings_cache:447 | 【活躍度】設定緩存已刷新
2025-07-23 22:19:04 | INFO     | activity_meter | refresh_settings_cache:447 | 【活躍度】設定緩存已刷新
