2025-07-23 20:37:45 | INFO     | sync_data | init_db:108 | 【資料同步】資料庫初始化完成
2025-07-23 20:37:45 | INFO     | sync_data | cog_load:55 | 【資料同步】Cog 載入完成
2025-07-23 22:19:49 | INFO     | sync_data | init_db:108 | 【資料同步】資料庫初始化完成
2025-07-23 22:19:49 | INFO     | sync_data | close:117 | 【資料同步】資料庫連接已由全局連接池管理
2025-07-23 22:19:49 | INFO     | sync_data | init_db:108 | 【資料同步】資料庫初始化完成
2025-07-23 22:19:49 | INFO     | sync_data | close:117 | 【資料同步】資料庫連接已由全局連接池管理
2025-07-23 22:19:49 | INFO     | sync_data | init_db:108 | 【資料同步】資料庫初始化完成
2025-07-23 22:19:49 | INFO     | sync_data | close:117 | 【資料同步】資料庫連接已由全局連接池管理
2025-07-23 22:19:49 | INFO     | sync_data | init_db:108 | 【資料同步】資料庫初始化完成
2025-07-23 22:19:49 | INFO     | sync_data | close:117 | 【資料同步】資料庫連接已由全局連接池管理
2025-07-23 22:19:49 | INFO     | sync_data | init_db:108 | 【資料同步】資料庫初始化完成
2025-07-23 22:19:49 | INFO     | sync_data | close:117 | 【資料同步】資料庫連接已由全局連接池管理
2025-07-23 22:19:49 | INFO     | sync_data | init_db:108 | 【資料同步】資料庫初始化完成
2025-07-23 22:19:49 | INFO     | sync_data | close:117 | 【資料同步】資料庫連接已由全局連接池管理
2025-07-23 22:19:49 | INFO     | sync_data | init_db:108 | 【資料同步】資料庫初始化完成
2025-07-23 22:19:49 | INFO     | sync_data | close:117 | 【資料同步】資料庫連接已由全局連接池管理
2025-07-23 22:19:49 | INFO     | sync_data | init_db:108 | 【資料同步】資料庫初始化完成
2025-07-23 22:19:49 | INFO     | sync_data | close:117 | 【資料同步】資料庫連接已由全局連接池管理
2025-07-23 22:19:49 | INFO     | sync_data | init_db:108 | 【資料同步】資料庫初始化完成
2025-07-23 22:19:49 | INFO     | sync_data | close:117 | 【資料同步】資料庫連接已由全局連接池管理
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:138 | 【資料同步】開始同步伺服器 12345 (測試伺服器)，類型：完整同步
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:171 | 【資料同步】伺服器 12345 同步完成：角色(1+/0~/0-) 頻道(1+/0~/0-) 耗時 0.00秒
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:138 | 【資料同步】開始同步伺服器 12345 (測試伺服器)，類型：角色同步
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:171 | 【資料同步】伺服器 12345 同步完成：角色(1+/0~/0-) 頻道(0+/0~/0-) 耗時 0.00秒
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:138 | 【資料同步】開始同步伺服器 12345 (測試伺服器)，類型：頻道同步
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:171 | 【資料同步】伺服器 12345 同步完成：角色(0+/0~/0-) 頻道(1+/0~/0-) 耗時 0.00秒
2025-07-23 22:19:49 | INFO     | sync_data | cog_load:55 | 【資料同步】Cog 載入完成
2025-07-23 22:19:49 | INFO     | sync_data | cog_unload:68 | 【資料同步】Cog 卸載完成
2025-07-23 22:19:49 | INFO     | sync_data | cog_load:55 | 【資料同步】Cog 載入完成
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:138 | 【資料同步】開始同步伺服器 12345 (測試伺服器12345)，類型：完整同步
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:171 | 【資料同步】伺服器 12345 同步完成：角色(0+/0~/0-) 頻道(0+/0~/0-) 耗時 0.00秒
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:138 | 【資料同步】開始同步伺服器 12346 (測試伺服器12346)，類型：完整同步
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:171 | 【資料同步】伺服器 12346 同步完成：角色(0+/0~/0-) 頻道(0+/0~/0-) 耗時 0.00秒
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:138 | 【資料同步】開始同步伺服器 12347 (測試伺服器12347)，類型：完整同步
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:171 | 【資料同步】伺服器 12347 同步完成：角色(0+/0~/0-) 頻道(0+/0~/0-) 耗時 0.00秒
2025-07-23 22:19:49 | INFO     | sync_data | sync_guild_data:138 | 【資料同步】開始同步伺服器 12345 (測試伺服器)，類型：角色同步
2025-07-23 22:19:49 | ERROR    | sync_data | sync_guild_data:188 | 【資料同步】伺服器 12345 同步失敗: 資料庫錯誤
2025-07-23 22:19:55 | ERROR    | sync_data | init_db:111 | 【資料同步】資料庫初始化失敗: 無法創建資料庫連接 /invalid/path/test.db: [Errno 30] Read-only file system: '/invalid'
